duration,duration_seconds,start_time,start_station,start_terminal,end_time,end_station,end_terminal,bike_number,rider_type,id
0h 10m 47sec.,647,2012-03-25 10:30:00,17th & Corcoran St NW,31214,2012-03-25 10:40:00,Calvert St & Woodley Pl NW,31106,W00576,Registered,326188
0h 11m 45sec.,705,2012-03-28 18:59:00,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015,2012-03-28 19:11:00,21st & M St NW,31212,W00011,Registered,345585
0h 7m 45sec.,465,2012-03-12 22:30:00,3rd & H St NE,31616,2012-03-12 22:37:00,Florida Ave & R St NW,31503,W01215,Registered,251919
0h 4m 27sec.,267,2012-03-12 20:11:00,14th & G St NW,31238,2012-03-12 20:15:00,14th & Rhode Island Ave NW,31203,W00455,Registered,251426
0h 10m 2sec.,602,2012-02-03 09:06:00,Lamont & Mt Pleasant NW,31107,2012-02-03 09:16:00,17th & Rhode Island Ave NW,31239,W00300,Registered,105965
0h 24m 59sec.,1499,2012-03-30 19:35:00,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613,2012-03-30 20:00:00,Massachusetts Ave & Dupont Circle NW,31200,W01352,Registered,357661
0h 13m 45sec.,825,2012-03-10 16:44:00,North Capitol St & F St NW,31624,2012-03-10 16:58:00,Thomas Circle,31241,W00089,Registered,240483
0h 12m 58sec.,778,2012-02-09 21:32:00,14th & R St NW,31202,2012-02-09 21:45:00,18th & M St NW,31221,W01158,Registered,129535
0h 2m 2sec.,122,2012-03-29 17:36:00,18th & Bell St,31007,2012-03-29 17:38:00,23rd & Crystal Dr,31011,W00653,Registered,350819
0h 17m 44sec.,1064,2012-02-18 08:43:00,21st & I St NW,31205,2012-02-18 09:01:00,8th & H St NW,31228,W01398,Registered,156324
0h 19m 43sec.,1183,2012-03-31 19:08:00,19th & E Street NW,31206,2012-03-31 19:28:00,10th St & Constitution Ave NW,31219,W01278,Casual,363912
0h 16m 33sec.,993,2012-02-22 08:20:00,7th & R St NW / Shaw Library,31245,2012-02-22 08:37:00,New York Ave & 15th St NW,31222,W00356,Registered,170556
0h 6m 49sec.,409,2012-03-22 17:10:00,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613,2012-03-22 17:17:00,13th & D St NE,31622,W00211,Registered,310589
0h 5m 34sec.,334,2012-01-19 20:39:00,Columbus Circle / Union Station,31623,2012-01-19 20:45:00,13th & H St NE,31611,W00724,Registered,56016
0h 14m 17sec.,857,2012-03-31 10:30:00,13th & D St NE,31622,2012-03-31 10:44:00,4th & E St SW,31244,W01006,Registered,359385
0h 16m 11sec.,971,2012-03-14 17:24:00,13th St & New York Ave NW,31227,2012-03-14 17:40:00,11th & H St NE,31614,W00034,Registered,261560
0h 13m 42sec.,822,2012-03-31 09:10:00,36th & Calvert St NW / Glover Park,31304,2012-03-31 09:24:00,7th & T St NW,31109,W01242,Registered,359045
0h 30m 29sec.,1829,2012-03-23 17:42:00,11th & Kenyon St NW,31102,2012-03-23 18:13:00,Van Ness Metro / UDC,31300,W00688,Registered,319246
0h 9m 11sec.,551,2012-03-29 15:10:00,4th & M St SW,31108,2012-03-29 15:20:00,USDA / 12th & Independence Ave SW,31217,W01330,Registered,349768
0h 11m 30sec.,690,2012-01-05 08:23:00,14th & Rhode Island Ave NW,31203,2012-01-05 08:34:00,North Capitol St & F St NW,31624,W00380,Registered,9340
0h 6m 13sec.,373,2012-03-16 08:27:00,1st & M St NE,31603,2012-03-16 08:33:00,5th St & K St NW,31600,W00932,Registered,271143
0h 2m 50sec.,170,2012-03-25 14:04:00,15th & P St NW,31201,2012-03-25 14:06:00,17th & Corcoran St NW,31214,W01241,Registered,327405
0h 10m 9sec.,609,2012-03-17 13:30:00,Georgia & New Hampshire Ave NW,31400,2012-03-17 13:40:00,10th & U St NW,31111,W00448,Registered,277687
0h 22m 26sec.,1346,2012-03-14 21:02:00,Massachusetts Ave & Dupont Circle NW,31200,2012-03-14 21:24:00,Lincoln Park / 13th & East Capitol St NE ,31619,W01296,Registered,263627
0h 9m 18sec.,558,2012-02-01 07:55:00,16th & Harvard St NW,31103,2012-02-01 08:04:00,Massachusetts Ave & Dupont Circle NW,31200,W00127,Registered,97060
0h 28m 39sec.,1719,2012-02-10 12:40:00,Columbus Circle / Union Station,31623,2012-02-10 13:09:00,USDA / 12th & Independence Ave SW,31217,W00679,Casual,131319
0h 0m 49sec.,49,2012-03-14 20:23:00,Columbia Rd & Belmont St NW,31113,2012-03-14 20:24:00,Columbia Rd & Belmont St NW,31113,W00345,Registered,263433
0h 14m 12sec.,852,2012-03-15 18:52:00,Adams Mill & Columbia Rd NW,31104,2012-03-15 19:07:00,Florida Ave & R St NW,31503,W01331,Registered,269059
0h 15m 36sec.,936,2012-03-22 18:14:00,Tenleytown / Wisconsin Ave & Albemarle St NW,31303,2012-03-22 18:30:00,Connecticut Ave & Newark St NW / Cleveland Park,31305,W01194,Registered,311508
0h 11m 15sec.,675,2012-02-26 16:27:00,Georgia Ave and Fairmont St NW,31207,2012-02-26 16:38:00,16th & Harvard St NW,31103,W00455,Registered,188243
0h 2m 13sec.,133,2012-01-08 11:51:00,Columbia Rd & Belmont St NW,31113,2012-01-08 11:54:00,20th St & Florida Ave NW,31110,W00191,Registered,21641
0h 15m 5sec.,905,2012-03-13 07:25:00,14th St & Spring Rd NW,31401,2012-03-13 07:40:00,McPherson Square - 14th & H St NW,31216,W01271,Registered,252309
0h 13m 21sec.,801,2012-02-13 18:46:00,John McCormack Dr & Michigan Ave NE,31502,2012-02-13 19:00:00,Columbus Circle / Union Station,31623,W00454,Registered,139911
